System,All,IV,OOV
onebest-word_+_onebest-morph_CombSUM.xml,0.348,0.420,0.068
onebest-word_+_onebest-morph_CombSUM-STO.xml,0.355,0.429,0.068
onebest-word_+_onebest-morph_CombMNZ.xml,0.348,0.420,0.068
onebest-word_+_onebest-morph_CombMNZ-STO.xml,0.356,0.430,0.068
onebest-word_+_onebest-morph_WCombMNZ.xml,0.348,0.420,0.068
onebest-word_+_onebest-morph_WCombMNZ-STO.xml,0.355,0.429,0.068
STO-onebest-word_+_STO-onebest-morph_CombSUM.xml,0.361,0.437,0.068
STO-onebest-word_+_STO-onebest-morph_CombSUM-STO.xml,0.361,0.437,0.068
STO-onebest-word_+_STO-onebest-morph_CombMNZ.xml,0.361,0.437,0.068
STO-onebest-word_+_STO-onebest-morph_CombMNZ-STO.xml,0.359,0.434,0.068
STO-onebest-word_+_STO-onebest-morph_WCombMNZ.xml,0.361,0.437,0.068
STO-onebest-word_+_STO-onebest-morph_WCombMNZ-STO.xml,0.361,0.437,0.068
